"number","opened_at","caller_id","short_description","priority","state","assignment_group","assigned_to","sys_updated_on","close_notes"
"INC0157617","2025-06-18 17:42:33","SolarWinds ","Critical : Open : Node ""STO-VCENTER01"" IP ""10.100.100.230"" is ""Down""  Alert description: Node ""STO-VCENTER01""  IP ""10.100.100.230""  is DownAlert Generated","2 - High","Closed","CDNA Stratogent","Chikkanti Mahesh (C)","2025-06-21 04:00:01","Hi Team,

As per John's update, some inadvertent changes were made to the core switch, which impacted routing for certain servers. These changes have since been reverted.

Upon verifying the server is now up and running smoothly, with no packet loss observed.

Best regards,
Mahesh C"
"INC0157616","2025-06-18 17:42:30","SolarWinds ","Critical : Open : Node ""STO-ODIN"" IP ""10.100.100.136"" is ""Down""  Alert description: Node ""STO-ODIN""  IP ""10.100.100.136""  is DownAlert Generated time  : 6/","2 - High","Closed","CDNA Stratogent","Chikkanti Mahesh (C)","2025-06-21 03:00:00","Hi Team,

As per John's update, some inadvertent changes were made to the core switch, which impacted routing for certain servers. These changes have since been reverted.

Upon verifying the server is now up and running smoothly, with no packet loss observed.

Best regards,
Mahesh C"
"INC0157615","2025-06-18 17:38:29","SolarWinds ","Critical: Open: ALERT: Current packet loss for Diane is 60 %.Average Response time is 169 ms and is varying from 167 ms to 176 ms.","3 - Moderate","Closed","CDNA Stratogent","Chikkanti Mahesh (C)","2025-06-22 06:00:02","Hi team,

Upon checking, the server is up and running smoothly with no packet loss observed.

No further action is required at this time. We will proceed to close the incident. PFA

Best regards,
Mahesh C"
"INC0157614","2025-06-18 17:37:37","SolarWinds ","Critical: Open: ALERT: Current packet loss for STO-VCENTER01 is 80 %.Average Response time is 167 ms and is varying from 167 ms to 168 ms.","3 - Moderate","Closed","CDNA Stratogent","Chikkanti Mahesh (C)","2025-06-22 06:00:01","Hi team,

Upon checking, the server is up and running smoothly with no packet loss observed.

No further action is required at this time. We will proceed to close the incident. PFA

Best regards,
Mahesh C"
"INC0157613","2025-06-18 17:37:33","SolarWinds ","Critical: Open: ALERT: Current packet loss for STO-ODIN is 50 %.Average Response time is 169 ms and is varying from 168 ms to 171 ms.","3 - Moderate","Closed","CDNA Stratogent","Chikkanti Mahesh (C)","2025-06-22 06:00:02","Hi team,

Upon checking, the server is up and running smoothly with no packet loss observed.

No further action is required at this time. We will proceed to close the incident. PFA

Best regards,
Mahesh C"
"INC0157612","2025-06-18 17:37:29","SolarWinds ","Critical: Open - Application ""SSL Certificate"" on ""STO-VCENTER01"" is currently Down","3 - Moderate","Closed","CDNA Stratogent","Chikkanti Mahesh (C)","2025-06-21 05:00:00","The following is a list of components in this application presently.

HTTPS Monitor(Up)
SSL Certificate Expiration Date Monitor(Up)"
"INC0157599","2025-06-18 14:15:26","Microsoft Azure NoReply","Azure: Activated Severity: 0 VM Availibiltiy LIMS-SQL-DEVLAB","3 - Moderate","Closed","CDNA Stratogent","Sudheesh Balakrishna (C)","2025-06-20 15:00:02","Upon validation the server has not reboot and the availability alert was due to discrepancy between the VM availability metric and Resource Health from Azure end as there can be delays in collecting or reporting metrics from Azure resources sometimes.

Where the metric shows a downtime, but Resource Health showing ""Available"" status, potentially triggering an alert.

This could happen due to temporary issues within the Azure monitoring or network latency, no further action required hence marking the ticket for closure."
"INC0157597","2025-06-18 13:44:25","Microsoft Azure NoReply","Azure: Activated Severity: 0 VM Availability azwe-dev-azdf04  || telcortest","3 - Moderate","Closed","CDNA Stratogent","Sudheesh Balakrishna (C)","2025-06-20 15:00:03","Upon validation the server has not reboot and the availability alert was due to discrepancy between the VM availability metric and Resource Health from Azure end as there can be delays in collecting or reporting metrics from Azure resources sometimes.

Where the metric shows a downtime, but Resource Health showing ""Available"" status, potentially triggering an alert.

This could happen due to temporary issues within the Azure monitoring or network latency, no further action required hence marking the ticket for closure."
"INC0157593","2025-06-18 13:24:51","Microsoft Azure NoReply","Azure: Activated Severity: 0 VM Availibility azpwlabslimapp1","3 - Moderate","Closed","CDNA Stratogent","Anbalagan Dayananth (C)","2025-06-20 18:00:01","We received an availability alert for the VM azpwprdslimapp1.

After checking from the Azure portal, we confirmed that the VM is currently running normally. The Resource Health status shows the VM as Available with no signs of reboots or downtime.

It seems there was a mismatch between the Availability metrics and Resource Health data. This can happen occasionally due to temporary delays in data collection, network latency, or other short-term monitoring issues. As a result availability metrics might briefly show downtime even when the VM is healthy leading to false alerts.

We also confirmed that there are no active service issues in any Azure regions.

Since there was no actual impact, we will go ahead and close the ticket.
"
"INC0157592","2025-06-18 13:08:15","Rey Mandapat","Solarwinds Dashboard admin access","5 - Planning","Closed","CDNA Stratogent","Anushree V (C)","2025-06-21 06:00:00","User role has been changed"
"INC0157581","2025-06-18 12:30:20","Microsoft Azure NoReply","Azure: Activated Severity: 0 VM Availibility lims-sql-prd2","3 - Moderate","Closed","CDNA Stratogent","Swaroop MS (C)","2025-06-22 10:00:03","Hi Team,

Upon review, the Azure Resource Health logs indicated a brief unavailability event. This appears to be platform-initiated and likely a temporary discrepancy in Azure's monitoring system.

However, both servers are up and reachable via ping from the Azure end. We have informed Chris accordingly.

No further action is needed.

Hence marking this as closure.

Thanks,
Swaroop MS"
"INC0157575","2025-06-18 12:08:13","Microsoft Azure NoReply","Azure: Activated Severity: 0 VM Availibility azpwsndslimapp1","3 - Moderate","Closed","CDNA Stratogent","Sudheesh Balakrishna (C)","2025-06-20 15:00:00","Upon validation the server has not reboot and the availability alert was due to discrepancy between the VM availability metric and Resource Health from Azure end as there can be delays in collecting or reporting metrics from Azure resources sometimes.

Where the metric shows a downtime, but Resource Health showing ""Available"" status, potentially triggering an alert.

This could happen due to temporary issues within the Azure monitoring or network latency, mail sent to the customer informing them the same. no further action required hence marking the ticket for closure."
"INC0157621","2025-06-18 18:10:56","SolarWinds ","Alert for Stockholm - Settings changed","3 - Moderate","Closed","CDNA Stratogent","Sanjay C (C)","2025-06-21 17:00:01","Hi Team,

The changes were done by Rajendran. Hence closing the ticket.

Thank you,
Sanjay C"
"INC0157622","2025-06-18 18:19:24","Microsoft Azure NoReply","Azure: Activated Severity: 0 VM Availability azwe-dev-frnt01","3 - Moderate","Closed","CDNA Stratogent","Chikkanti Mahesh (C)","2025-06-20 21:00:03","Hi Team,

After checking from the Azure portal, we confirmed that the VM is currently running normally. The Resource Health status shows the VM as Available with no signs of reboots or downtime.

It seems there was a mismatch between the Availability metrics and Resource Health data. This can happen occasionally due to temporary delays in data collection, network latency, or other short-term monitoring issues. As a result availability metrics might briefly show downtime even when the VM is healthy leading to false alerts.

We also confirmed that there are no active service issues in any Azure regions.

Since there was no actual impact, we will go ahead and close the ticket.

Best regards,
Mahesh C"
"INC0157623","2025-06-18 18:20:50","Microsoft Azure NoReply","Azure: Activated Severity: 0 Vm Availability vm-eis-uat-wus2","3 - Moderate","Closed","CDNA Stratogent","Chikkanti Mahesh (C)","2025-06-20 21:00:02","Hi Team,

After checking from the Azure portal, we confirmed that the VM is currently running normally. The Resource Health status shows the VM as Available with no signs of reboots or downtime.

It seems there was a mismatch between the Availability metrics and Resource Health data. This can happen occasionally due to temporary delays in data collection, network latency, or other short-term monitoring issues. As a result availability metrics might briefly show downtime even when the VM is healthy leading to false alerts.

We also confirmed that there are no active service issues in any Azure regions.

Since there was no actual impact, we will go ahead and close the ticket.

Best regards,
Mahesh C"
"INC0157646","2025-06-19 07:12:02","SolarWinds ","Critical: Open: ALERT: Current packet loss for Instrument Room Switch is 70 %.
Average Response time is 168 ms and is varying from 168 ms to 169 ms.","3 - Moderate","Closed","CDNA Stratogent","Varunsimha M P (C)","2025-06-21 09:00:01","Resolution notes copied from Parent Incident: All the devices are ""up and running fine"" and there was no downtime issue; hence, closing this incident.
Incident 'INC0157646' closed based on closure of task 'INC0157651'

All the devices are ""up and running fine"" and there was no downtime issue; hence, closing this incident."
"INC0157645","2025-06-19 06:37:28","Microsoft Azure NoReply","Azure: Activated Severity: 0 VM Availability || azwe-dev-srlm01","3 - Moderate","Closed","CDNA Stratogent","Varunsimha M P (C)","2025-06-21 07:00:01","Upon reviewing the Azure Resource Health logs, the VM has consistently shown as ""Available"" before and after the event, with no current issues reported. Suspecting discrepancy between the VM availability metric and Resource Health from Azure end as there can be delays in collecting or reporting metrics from Azure resources sometimes.
However, server is currently up and running as expected. We will proceed with closing the ticket for now."
"INC0157643","2025-06-19 05:22:29","Microsoft Azure NoReply","Azure: Activated Severity: 0 vm availibility || azpwqaslimapp1","3 - Moderate","Closed","CDNA Stratogent","Swaroop MS (C)","2025-06-21 07:00:01","We received an availability alert for the virtual machine azpwqaslimapp1.

Upon reviewing the Azure Resource Health logs, the VM has consistently shown as ""Available"" before and after the event, with no current issues reported. The server is currently up and running as expected.

We will proceed with closing the ticket for now. 
"
"INC0157642","2025-06-19 03:53:32","Microsoft Azure NoReply","Azure: Activated Severity: 0 VM Availabilty-vm-dev-web-mtilda-01","3 - Moderate","Closed","CDNA Stratogent","Varunsimha M P (C)","2025-06-21 05:00:01","Upon checking, we could see that the VM was up and running. Resource Health is available, and we don't see any reboots or downtime observed.
Suspecting discrepancy between the VM availability metric and Resource Health from the Azure end, as there can be delays in collecting or reporting metrics from Azure resources sometimes. Where the metric shows a downtime, but Resource Health shows an ""Available"" status, potentially triggering an alert. This could happen due to temporary issues within the Azure monitoring or network latency. We will proceed with ticket closure for now."
"INC0157634","2025-06-18 22:17:36","SolarWinds ","Critical: Open: ALERT: Current packet loss for ttp-la-sdn-ecxs-01 is 70 %.Average Response time is 66 ms and is varying from 64 ms to 68 ms.","3 - Moderate","Closed","CDNA Stratogent","Sinchana Narendra (C)","2025-06-22 23:00:00","Upon validation, the device is up and running without any packet loss. No further issues were observed; hence, we are closing this ticket."
"INC0157633","2025-06-18 22:05:13","Microsoft Azure NoReply","Azure: Activated Severity: 0 VM Availability vm-eis-dev-wus2-2","3 - Moderate","Closed","CDNA Stratogent","Sinchana Narendra (C)","2025-06-21 00:00:02","After checking from the Azure portal, we confirmed that the VM is currently running normally. The Resource Health status shows the VM as Available with no signs of reboots or downtime.

It seems there was a mismatch between the Availability metrics and Resource Health data. This can happen occasionally due to temporary delays in data collection, network latency, or other short-term monitoring issues. As a result availability metrics might briefly show downtime even when the VM is healthy leading to false alerts.

We also confirmed that there are no active service issues in any Azure regions.

Since there was no actual impact, we will go ahead and close the ticket."
"INC0157632","2025-06-18 22:03:41","Microsoft Azure NoReply","Azure: Activated Severity: 0 VM Availability dev-adf-rpt01","3 - Moderate","Closed","CDNA Stratogent","Sinchana Narendra (C)","2025-06-21 00:00:01","After checking from the Azure portal, we confirmed that the VM is currently running normally. The Resource Health status shows the VM as Available with no signs of reboots or downtime.

It seems there was a mismatch between the Availability metrics and Resource Health data. This can happen occasionally due to temporary delays in data collection, network latency, or other short-term monitoring issues. As a result availability metrics might briefly show downtime even when the VM is healthy leading to false alerts.

We also confirmed that there are no active service issues in any Azure regions.

Since there was no actual impact, we will go ahead and close the ticket."
"INC0157631","2025-06-18 22:01:55","Microsoft Azure NoReply","Azure: Activated Severity: 0 VM Availibility dev-lims-svc1","3 - Moderate","Closed","CDNA Stratogent","Sinchana Narendra (C)","2025-06-21 00:00:04","After checking from the Azure portal, we confirmed that the VM is currently running normally. The Resource Health status shows the VM as Available with no signs of reboots or downtime.

It seems there was a mismatch between the Availability metrics and Resource Health data. This can happen occasionally due to temporary delays in data collection, network latency, or other short-term monitoring issues. As a result availability metrics might briefly show downtime even when the VM is healthy leading to false alerts.

We also confirmed that there are no active service issues in any Azure regions.

Since there was no actual impact, we will go ahead and close the ticket."
"INC0157630","2025-06-18 20:55:42","Solarwinds-alerts","Alert for Stockholm - cameras went down","3 - Moderate","Closed","CDNA Stratogent","Sanjay C (C)","2025-06-21 17:00:01","HI Team,
The camera is up and running.PFB."
"INC0157629","2025-06-18 20:34:51","Microsoft Azure NoReply","Azure: Activated Severity: 0 vm availibility azpwqaslimapp1","3 - Moderate","Closed","CDNA Stratogent","Chikkanti Mahesh (C)","2025-06-20 22:00:01","Hi Team,

After checking from the Azure portal, we confirmed that the VM is currently running normally. The Resource Health status shows the VM as Available with no signs of reboots or downtime.

It seems there was a mismatch between the Availability metrics and Resource Health data. This can happen occasionally due to temporary delays in data collection, network latency, or other short-term monitoring issues. As a result availability metrics might briefly show downtime even when the VM is healthy leading to false alerts.

We also confirmed that there are no active service issues in any Azure regions.

Since there was no actual impact, we will go ahead and close the ticket.

Best regards,
Mahesh C"
"INC0157628","2025-06-18 20:20:25","Microsoft Azure NoReply","Azure: Activated Severity: 0 VM avaliblity_vm-eis-prod-wus2-2","3 - Moderate","Closed","CDNA Stratogent","Chikkanti Mahesh (C)","2025-06-20 22:00:01","Hi Team,

After checking from the Azure portal, we confirmed that the VM is currently running normally. The Resource Health status shows the VM as Available with no signs of reboots or downtime.

It seems there was a mismatch between the Availability metrics and Resource Health data. This can happen occasionally due to temporary delays in data collection, network latency, or other short-term monitoring issues. As a result availability metrics might briefly show downtime even when the VM is healthy leading to false alerts.

We also confirmed that there are no active service issues in any Azure regions.

Since there was no actual impact, we will go ahead and close the ticket.

Best regards,
Mahesh C"
"INC0157627","2025-06-18 20:19:06","Microsoft Azure NoReply","Azure: Activated Severity: 0 VM-Availability-vm-eis-prod-wus2-1","3 - Moderate","Closed","CDNA Stratogent","Chikkanti Mahesh (C)","2025-06-20 22:00:00","Hi Team,

After checking from the Azure portal, we confirmed that the VM is currently running normally. The Resource Health status shows the VM as Available with no signs of reboots or downtime.

It seems there was a mismatch between the Availability metrics and Resource Health data. This can happen occasionally due to temporary delays in data collection, network latency, or other short-term monitoring issues. As a result availability metrics might briefly show downtime even when the VM is healthy leading to false alerts.

We also confirmed that there are no active service issues in any Azure regions.

Since there was no actual impact, we will go ahead and close the ticket.

Best regards,
Mahesh C"
"INC0157626","2025-06-18 19:48:29","Microsoft Azure NoReply","Azure: Activated Severity: 0 Vm Availability-LIMS-SQL-QA","3 - Moderate","Closed","CDNA Stratogent","Chikkanti Mahesh (C)","2025-06-20 21:00:02","Hi Team,

After checking from the Azure portal, we confirmed that the VM is currently running normally. The Resource Health status shows the VM as Available with no signs of reboots or downtime.

It seems there was a mismatch between the Availability metrics and Resource Health data. This can happen occasionally due to temporary delays in data collection, network latency, or other short-term monitoring issues. As a result availability metrics might briefly show downtime even when the VM is healthy leading to false alerts.

We also confirmed that there are no active service issues in any Azure regions.

Since there was no actual impact, we will go ahead and close the ticket.

Best regards,
Mahesh C"
"INC0157625","2025-06-18 19:22:22","Microsoft Azure NoReply","Azure: Activated Severity: 0 Vm Availability-vm-eis-qa-wus2-2","3 - Moderate","Closed","CDNA Stratogent","Chikkanti Mahesh (C)","2025-06-20 21:00:01","Hi Team,

After checking from the Azure portal, we confirmed that the VM is currently running normally. The Resource Health status shows the VM as Available with no signs of reboots or downtime.

It seems there was a mismatch between the Availability metrics and Resource Health data. This can happen occasionally due to temporary delays in data collection, network latency, or other short-term monitoring issues. As a result availability metrics might briefly show downtime even when the VM is healthy leading to false alerts.

We also confirmed that there are no active service issues in any Azure regions.

Since there was no actual impact, we will go ahead and close the ticket.

Best regards,
Mahesh C"
"INC0157624","2025-06-18 18:33:24","Microsoft Azure NoReply","Azure: Activated Severity: 0 Vm Availability vm-eis-dev-wus2-1","3 - Moderate","Closed","CDNA Stratogent","Chikkanti Mahesh (C)","2025-06-20 21:00:00","Hi Team,

After checking from the Azure portal, we confirmed that the VM is currently running normally. The Resource Health status shows the VM as Available with no signs of reboots or downtime.

It seems there was a mismatch between the Availability metrics and Resource Health data. This can happen occasionally due to temporary delays in data collection, network latency, or other short-term monitoring issues. As a result availability metrics might briefly show downtime even when the VM is healthy leading to false alerts.

We also confirmed that there are no active service issues in any Azure regions.

Since there was no actual impact, we will go ahead and close the ticket.

Best regards,
Mahesh C"
"INC0157574","2025-06-18 12:05:26","Microsoft Azure NoReply","Azure: Activated Severity: 0 VM Availibility lims-sql-prd1","3 - Moderate","Closed","CDNA Stratogent","Swaroop MS (C)","2025-06-21 08:00:02","Upon reviewing the Azure Resource Health logs, the VM has consistently shown as ""Available''

No further action is needed.

Hence marking this as clousre."
"INC0157710","2025-06-20 05:15:39","SolarWinds ","Critical : Open : volume 'STO-VCENTER01-C:\ Label: 3456DE69 ' on Node 'STO-VCENTER01' is in 'Unreachable ' stateAn issue on an object you are monitoring occur","5 - Planning","Closed","CDNA Stratogent","Swaroop MS (C)","2025-06-29 10:00:00","Resolution notes copied from Parent Incident: Following John's troubleshooting, the alerts have cleared, and the devices are back under monitoring in SolarWinds.

No further action is needed.

Hence closing this ticket.

PFA
"
"INC0157842","2025-06-21 17:10:06","SolarWinds ","Critical: Open - Application ""CareDx_Application_Monitor"" on ""vcenter01"" is currently Down","3 - Moderate","Closed","CDNA Stratogent","Sudheesh Balakrishna (C)","2025-06-23 18:00:00","Upon validation, the application CareDx_Application_Monitor on vcenter01 (10.125.143.10) is currently in a state ""Up"".

Also, the component of this application ClarityLIMS is also up.

As we received closure alert from SolarWinds, hence marking the ticket to closure."
"INC0158372","2025-06-27 06:55:16","SolarWinds ","Warning: Open: ALERT: vcenter01 has exceptionaly high response time. Average Response Time is 633 ms and is varying from 15 ms to 6179 ms.","3 - Moderate","Closed","CDNA Stratogent","Sinchana Narendra (C)","2025-06-29 10:00:08","Hi Team,

Upon checking we could see that ping status result is found to be normal and resulted in 0% packet loss however we don't see any exceptionally high response time. Average Response Time is 602 ms and is varying from 15 ms to 5694 ms.

Thanks & Regards
SINCHANA MN"
"INC0158363","2025-06-27 02:45:17","Guna Sekhar (C)","CareDx || Network slide for deck June 2025","4 - Low","Closed","CDNA Stratogent Network","Ravi Kiran (C)","2025-06-29 07:00:01","Hi Team,
Network team have updated the CAREDX weekly deck PPT, Hence resolving the ticket."
"INC0158361","2025-06-27 02:20:38","Guna Sekhar (C)","Request to Pull SMTP Server Logs  – Server: prdlsmtp1bris","3 - Moderate","Closed","CDNA Stratogent","Sanjay Kumar (C)","2025-06-29 03:00:02","Hi Team ,

As per request the  SMTP Server Logs  – Server: prdlsmtp1bris
PFA 

Thanks & regards 
Sanjay s"
"INC0158360","2025-06-27 02:03:13","Esther Nith","STARLims password Reset Request","1 - Critical","Closed","CDNA Stratogent","Varunsimha M P (C)","2025-06-29 03:00:01","Tony has unlocked Esther's Starlims account, and the user Esther has confirmed that she is able to work as expected."
"INC0158359","2025-06-27 01:49:27","Guna Sekhar (C)","Request to Pull SMTP Logs from SolarWinds – Server: prdlsmtp1bris","3 - Moderate","Closed","CDNA Stratogent","Sanjay Kumar (C)","2025-06-29 03:00:02","Hi Team ,

As per request the  SMTP Logs from SolarWinds – Server: prdlsmtp1bris
PFA 

Thanks & regards 
Sanjay s"
"INC0158358","2025-06-27 01:51:09","SolarWinds ","Critical: Open - Application ""CareDx_Application_Monitor"" on ""vcenter01"" is currently UpThe application CareDx_Application_Monitor on vcenter01 (10.125.143.10","3 - Moderate","Closed","CDNA Stratogent","Sanjay Kumar (C)","2025-06-29 03:00:01","Hi Team ,

Upon checking ,  Application ""CareDx_Application_Monitor"" on ""vcenter01"" is currently Up

The application CareDx_Application_Monitor on vcenter01 (10.125.143.10) is currently in a state of ""Up"". 

PFA 

Thanks & Regards 
sanjay s"
"INC0158348","2025-06-26 16:45:41","SolarWinds ","Critical: Open - Application ""Windows Server 2003-2012 Services and Counters"" on ""Prometheus2"" is currently WarningThe application Windows Server 2003-2012 Se","3 - Moderate","Closed","CDNA Stratogent","Varunsimha M P (C)","2025-06-28 19:00:00","The application is ""up and running fine,"" and the component physical and logical disk queue length came to normal. Additionally, we have received the recovery alert; further, no issues were found, hence closing this incident."
"INC0158281","2025-06-26 08:20:35","SolarWinds ","Critical: Open - Application ""SSL Certificate Expiration Date"" on ""xq-prod.caredx.com"" is currently Down","3 - Moderate","Closed","CDNA Stratogent","Swaroop MS (C)","2025-06-28 10:00:03","Hi Team,

Upon checking, Application SSL Certificate Expiration Date on xq-prod.caredx.com (20.109.186.226) is currently in a state is Up

SSL Certificate Expiration Date Monitor (Up)

We could see that component status is UP, and the certificate is set to expire in the next 74 days

Therefore, we are closing this ticket.

Thanks,
Swaroop MS
"
"INC0158245","2025-06-26 02:32:12","David Olague","CareDx || Access Request: Azure Sweden Jump Host & SolarWinds dashboard access","3 - Moderate","Closed","CDNA Stratogent","Varunsimha M P (C)","2025-06-28 04:00:00","As requested by David,  worked with Daniel and provided the SolarWinds Dashboard access, and the Sweden jump host access was already there for him. Further, no action is required on this. Hence closing this ticket."
"INC0158238","2025-06-25 21:39:31","David Olague","Enable the backup alert notification for the prod-lims servers","3 - Moderate","Closed","CDNA Stratogent","Sanjay Kumar (C)","2025-06-27 22:00:06","Hi Team,

As requested, the backup alert notifications have been successfully configured for the following servers:

Azpwprdslimapp1
prd-lims-svc1
vm-eis-prod-wus2-1
vm-eis-prod-wus2-2

Please find the attached document for your reference.

Thanks & Regards,
Sanjay S"
"INC0158237","2025-06-25 21:05:45","Microsoft Azure NoReply","Azure: Activated Severity: 1 caredx deamon portal - health check status","3 - Moderate","Closed","CDNA Stratogent","Varunsimha M P (C)","2025-06-27 22:00:05","Post restarting the app-care-portal-daemon-prod web service, the Daemon app portal is now healthy. Additionally, we've received a deactivation alert for the same. Further, no issues were found, hence marking this ticket for closure."
"INC0158235","2025-06-25 19:06:41","Sanjay Kumar (C)","CareDx || Backup Configuration Check – prd-oktasyn01","3 - Moderate","Closed","CDNA Stratogent","Saubhadra Badajena (C)","2025-06-28 09:00:02","Backup has configured.

52150
Backup
prd-oktasyn01
10.125.143.194
Jun 26, 2025 08:04:33
--"
"INC0158176","2025-06-25 10:00:59","Guna Sekhar (C)","Validate - Linux sever patches available on the server and patches pushed from azure auto patching","4 - Low","Closed","CDNA Stratogent","Sudheesh Balakrishna (C)","2025-06-28 10:00:04","In Azure Update Manager for Linux servers, we have configured only Security and Update classifications. The ""Other"" category has not been enabled, which is why some third-party patches and certain packages are sometimes not selected during patching.

This behavior is due to the way Linux repositories classify updates—it varies from server to server. In some cases, even security-related patches (like for grub) may appear under the ""Other"" classification if the repository does not properly tag them.

Additionally, some repositories might include both security and third-party patches under a single classification, which causes further inconsistency in how Azure detects and categorizes them.

To address this, we recommend enabling the ""Other"" classification in Azure Update Manager. This will ensure that all relevant patches, including third-party and misclassified security updates, are considered during deployment.

Hence, closing the ticket."
"INC0158141","2025-06-25 03:28:49","SolarWinds ","Critical: Open - Application ""Windows Server 2016 Services and Counters"" on ""Prometheus2"" is currently WarningThe application Windows Server 2016 Services and","3 - Moderate","Closed","CDNA Stratogent","Sinchana Narendra (C)","2025-06-28 02:00:00","Upon checking,  Application ""Windows Server 2016 Services and Counters"" on ""Prometheus2"" is Up

we found that the application and services are running properly.

Logical Disk: Avg. Disk Queue Length(UP)
Physical Disk: Avg. Disk Queue Length(UP)

Therefore, we are closing this ticket."
"INC0158129","2025-06-24 17:28:46","David Olague","CareDx || Azure Backup Jobs Details from Jan 2025.","3 - Moderate","Closed","CDNA Stratogent","Sinchana Narendra (C)","2025-06-29 09:00:02","Azure team have attached the backup job details for mentioned servers.
For the below server backup is not configured.
 
lims-sql-prd1
lims-sql-prd2
prd-sox-rpt01"
"INC0158379","2025-06-27 07:39:54","SolarWinds ","Critical: Open - Application ""Web links under outsys-prod"" on ""outsys-prod.xdxinc.net"" is currently Down","3 - Moderate","Closed","CDNA Stratogent","Swaroop MS (C)","2025-06-30 08:00:00","Hi Team,

Upon checking, Application Web links under outsys-prod on outsys-prod.xdxinc.net (10.125.144.16) is currently in a state is Up

we found that the application and services are running properly.

HTTP Monitor(Up)
HTTP Monitor(Up)
HTTP Monitor(Up)

Therefore, we are closing this ticket.

PFA-"
"INC0158380","2025-06-27 07:42:58","SolarWinds ","Critical: ALERT: TOOLS-DEV-2016 rebooted at 6/27/2025 7:41:00 AM","3 - Moderate","Closed","CDNA Stratogent","Sinchana Narendra (C)","2025-06-29 20:00:02","After reviewing the system logs, it was discovered that the VM was rebooted by the user ""XDXINC\Bwemhoff."" 
The server is up and running fine, and all automatic services are operating normally. Hence closing this ticket."
"INC0158499","2025-06-29 19:29:56","Sanjay Kumar (C)","Outsys-prod  reboot activity on 29-06-2025","3 - Moderate","Closed","CDNA Stratogent","Sanjay Kumar (C)","2025-07-02 00:00:04","Hello Team,

Outsys-prod server has been rebooted successfully, post reboot verified the functionality it is working as expected.

Please find the attached Pre and Post evidances

Thanks & regards 
Sanjay s"
"INC0158498","2025-06-29 19:19:36","SolarWinds ","Critical: ALERT: outsys-prod.xdxinc.net rebooted at 6/29/2025 7:16:00 PM","3 - Moderate","Closed","CDNA Stratogent","Sanjay Kumar (C)","2025-07-02 00:00:03","Resolution notes copied from Parent Incident: Hello Team,

Outsys-prod server has been rebooted successfully, post reboot verified the functionality it is working as expected.

Please find the attached Pre and Post evidances

Thanks & regards 
Sanjay s"
"INC0158497","2025-06-29 19:17:34","SolarWinds ","Critical : Open : Node ""outsys-prod.xdxinc.net"" IP ""10.125.144.16"" is ""Down""  Alert description: Node ""outsys-prod.xdxinc.net""  IP ""10.125.144.16""  is Down","3 - Moderate","Closed","CDNA Stratogent","Sanjay Kumar (C)","2025-07-02 00:00:02","Resolution notes copied from Parent Incident: Hello Team,

Outsys-prod server has been rebooted successfully, post reboot verified the functionality it is working as expected.

Please find the attached Pre and Post evidances

Thanks & regards 
Sanjay s"
"INC0158496","2025-06-29 19:16:39","SolarWinds ","Critical: Open: ALERT: Current packet loss for outsys-prod.xdxinc.net is 80 %.Average Response time is 23 ms and is varying from 20 ms to 27 ms.","3 - Moderate","Closed","CDNA Stratogent","Sanjay Kumar (C)","2025-07-02 00:00:01","Resolution notes copied from Parent Incident: Hello Team,

Outsys-prod server has been rebooted successfully, post reboot verified the functionality it is working as expected.

Please find the attached Pre and Post evidances

Thanks & regards 
Sanjay s"
"INC0158495","2025-06-29 17:44:31","SolarWinds ","Critical: ALERT: PRD-SCRNTSVR-1 rebooted at 6/29/2025 5:43:00 PM","3 - Moderate","Closed","CDNA Stratogent","Pasapula Dinesh (C)","2025-07-02 02:00:00","Upon checking the SolarWinds, the sever is up and running fine
The server was rebooted as part of patching activity.
Also received closure alert "
"INC0158494","2025-06-29 15:58:31","SolarWinds ","Critical: Open - Application ""Windows Server 2003-2012 Services and Counters"" on ""HALFDOME"" is currently CriticalThe application Windows Server 2003-2012 Serv","3 - Moderate","Closed","CDNA Stratogent","Pasapula Dinesh (C)","2025-07-01 17:00:01","
Upon Verifying, Application ""Windows Server 2003-2012 Services and Counters"" on ""HALFDOME"" is ""UP""

The application Windows Server 2003-2012 Services and Counters on HALFDOME (10.50.16.217) is ""UP""

The following is a list of components in this application presently is ""UP""

% Processor Time (UP)"
"INC0158491","2025-06-28 18:21:49","Anna Thomas","Care Dx From: Anna Thomas Telephone: 352-359-1981 I Am Getting A+","1 - Critical","Closed","CDNA Stratogent","Anbalagan Dayananth (C)","2025-06-30 21:00:00","Issue has been resolved  by scot and as per David confirmation we are moving this ticket to resolved state."
"INC0158475","2025-06-28 03:57:25","Microsoft Azure NoReply","Azure: Activated Severity: 0 VM Availibility || azpwlabslimapp1","3 - Moderate","Closed","CDNA Stratogent","Sudheesh Balakrishna (C)","2025-06-30 05:00:00","The availability alert was due to a rebooted created by Kenny.

No further action required as this reboot was planned activity, the server is up and running fine.

Hence marking the ticket to closure."
"INC0158474","2025-06-28 03:22:47","SolarWinds ","Warning : Open:-Disk space low on host  ""ussj-prd-stngry"" IP Address ""10.50.16.204"" for Volume ""G:\ Label:New Volume  Serial Number FE90E781"". Free space is ""14","3 - Moderate","Closed","CDNA Stratogent","Puneeth Nagaraj (C)","2025-06-30 06:00:00","As confirmed by Migdad, we have enough space now and also alerts happens to be cleared. Hence closing the ticket."
